epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12266.8,1.08536,0.4951,1.08504,0.83785,0.7972,0.84125,0.45355,1.39081,0.69469,1.09768,0.005842,0.005842,0.005842
44,12604.8,1.08526,0.49184,1.08059,0.83591,0.79993,0.8418,0.45383,1.39158,0.69383,1.09945,0.005743,0.005743,0.005743
45,12926.3,1.07316,0.49043,1.07824,0.84577,0.79138,0.84004,0.45348,1.39058,0.69311,1.0987,0.005644,0.005644,0.005644
46,13255.9,1.07811,0.48814,1.08254,0.83817,0.79975,0.8417,0.45393,1.39105,0.69167,1.09894,0.005545,0.005545,0.005545
47,13575.8,1.07791,0.48708,1.08209,0.84109,0.7972,0.84291,0.45436,1.38898,0.69082,1.09775,0.005446,0.005446,0.005446
48,13895.1,1.06836,0.47978,1.07615,0.83908,0.80102,0.84342,0.45415,1.38864,0.6907,1.09751,0.005347,0.005347,0.005347
49,14211.6,1.07283,0.48049,1.07614,0.83845,0.80292,0.84455,0.4557,1.38825,0.68893,1.0968,0.005248,0.005248,0.005248
50,14533.2,1.07214,0.48226,1.07616,0.83785,0.80292,0.84373,0.45619,1.38723,0.6885,1.09624,0.005149,0.005149,0.005149
51,14858.4,1.06935,0.47933,1.07512,0.83513,0.80547,0.84402,0.45644,1.38635,0.68812,1.09554,0.00505,0.00505,0.00505
52,15169.2,1.06206,0.47411,1.07175,0.83848,0.80524,0.84422,0.45706,1.38508,0.68767,1.09516,0.004951,0.004951,0.004951
53,15478.8,1.06204,0.47537,1.07241,0.8355,0.80483,0.8449,0.45754,1.38536,0.68576,1.09476,0.004852,0.004852,0.004852
54,15790.5,1.06398,0.47399,1.07366,0.83816,0.80102,0.84366,0.45774,1.38505,0.68437,1.09483,0.004753,0.004753,0.004753
55,16061.7,1.0593,0.47028,1.06954,0.84439,0.79339,0.84386,0.45825,1.38459,0.68333,1.09446,0.004654,0.004654,0.004654
56,16321,1.06131,0.47073,1.07008,0.83728,0.80674,0.84349,0.4589,1.3842,0.68328,1.09429,0.004555,0.004555,0.004555
57,16581.4,1.05454,0.466,1.06633,0.84482,0.79911,0.84452,0.45955,1.38295,0.68247,1.09378,0.004456,0.004456,0.004456
58,16860.1,1.05607,0.46743,1.06773,0.84611,0.80102,0.84467,0.45864,1.38308,0.68167,1.09315,0.004357,0.004357,0.004357
59,17131.9,1.04527,0.46365,1.06642,0.84671,0.80061,0.84615,0.4592,1.38229,0.68073,1.09311,0.004258,0.004258,0.004258
60,17401.3,1.05034,0.46336,1.06458,0.84477,0.80263,0.84659,0.45957,1.38136,0.67827,1.09275,0.004159,0.004159,0.004159
61,17671,1.04795,0.46072,1.06734,0.83917,0.80865,0.84571,0.46046,1.3814,0.67757,1.09255,0.00406,0.00406,0.00406
62,17938.2,1.04497,0.46084,1.06243,0.84637,0.80292,0.84685,0.46033,1.38064,0.67626,1.09211,0.003961,0.003961,0.003961
63,18201.3,1.03758,0.45784,1.06099,0.84604,0.79975,0.84604,0.46047,1.38009,0.67658,1.09192,0.003862,0.003862,0.003862
64,18466.4,1.04377,0.45847,1.0597,0.84777,0.79658,0.84566,0.46118,1.38021,0.67647,1.0915,0.003763,0.003763,0.003763
65,18731.1,1.04122,0.45801,1.05964,0.84933,0.79784,0.84595,0.46118,1.37964,0.6763,1.09121,0.003664,0.003664,0.003664
66,18998.8,1.03685,0.45454,1.06071,0.85129,0.79702,0.84571,0.46104,1.37916,0.67579,1.09082,0.003565,0.003565,0.003565
67,19265.4,1.03277,0.45246,1.05764,0.8496,0.7972,0.84641,0.46164,1.37839,0.67484,1.0906,0.003466,0.003466,0.003466
68,19517.6,1.02816,0.44764,1.05609,0.84984,0.79874,0.84861,0.46246,1.37758,0.67394,1.09036,0.003367,0.003367,0.003367
69,19786,1.02844,0.44686,1.05378,0.84879,0.79933,0.84833,0.46323,1.37721,0.67297,1.09014,0.003268,0.003268,0.003268
70,20062.6,1.02514,0.44605,1.05567,0.84682,0.80801,0.84964,0.46348,1.37629,0.67239,1.08934,0.003169,0.003169,0.003169
71,20346.9,1.02452,0.44499,1.0537,0.84368,0.80632,0.84876,0.464,1.37576,0.67265,1.08893,0.00307,0.00307,0.00307
72,20614.6,1.02095,0.44512,1.05352,0.84135,0.81437,0.84992,0.46401,1.37488,0.67271,1.0886,0.002971,0.002971,0.002971
73,20882.8,1.02173,0.44053,1.0537,0.84907,0.80483,0.8479,0.46435,1.37523,0.67277,1.08852,0.002872,0.002872,0.002872
74,21151.2,1.01512,0.43714,1.04738,0.83982,0.81055,0.84726,0.46527,1.37505,0.67194,1.08822,0.002773,0.002773,0.002773
75,21424.9,1.01312,0.43623,1.04562,0.83993,0.81119,0.84765,0.46591,1.37463,0.67204,1.08795,0.002674,0.002674,0.002674
76,21707.1,1.0076,0.43366,1.04568,0.84235,0.81182,0.84948,0.4664,1.37507,0.67158,1.08759,0.002575,0.002575,0.002575
77,21994.8,1.01004,0.43198,1.04629,0.84575,0.80871,0.84865,0.46653,1.3749,0.67105,1.08745,0.002476,0.002476,0.002476
78,22274.6,1.00433,0.43022,1.04273,0.84575,0.80867,0.84945,0.46711,1.37439,0.67025,1.08684,0.002377,0.002377,0.002377
79,22546.1,1.0016,0.42757,1.04314,0.84772,0.80865,0.84989,0.46765,1.37429,0.66898,1.08644,0.002278,0.002278,0.002278
80,22819.8,0.99167,0.42605,1.03878,0.84675,0.80789,0.84915,0.46736,1.37386,0.6681,1.08625,0.002179,0.002179,0.002179
81,23082.3,0.99442,0.4277,1.04241,0.8504,0.8042,0.84752,0.46749,1.37405,0.66764,1.08618,0.00208,0.00208,0.00208
82,23344.8,0.99127,0.42237,1.03755,0.84925,0.80578,0.84877,0.46799,1.37298,0.66736,1.08585,0.001981,0.001981,0.001981
83,23609.3,0.98187,0.41729,1.03487,0.85255,0.80356,0.84822,0.46791,1.37229,0.66641,1.08541,0.001882,0.001882,0.001882
84,23874.9,0.98309,0.41503,1.03526,0.84923,0.8057,0.84883,0.46896,1.37142,0.66631,1.08491,0.001783,0.001783,0.001783
85,24130,0.98353,0.41807,1.03665,0.84913,0.80506,0.84896,0.47,1.37079,0.6661,1.08446,0.001684,0.001684,0.001684
